Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,WHH,WHD,WHA,,,
13/8/16,Burnley,Swansea,0,1,A,2.4,3.3,3.25,2.5,3.2,2.9,FAVS,11.19,
13/8/16,Crystal Palace,West Brom,0,1,A,2,3.3,4.5,2.05,3.1,4,HomeWin,16.88,
13/8/16,Everton,Tottenham,1,1,D,3.2,3.4,2.4,3.1,3.1,2.4,AwayWin,21.41,
13/8/16,Hull,Leicester,2,1,H,4.5,3.6,1.91,4.2,3.25,1.95,Draw,13.95,
13/8/16,Man City,Sunderland,2,1,H,1.25,6.5,15,1.25,5.5,13,HomeFav,5.88,
13/8/16,Middlesbrough,Stoke,1,1,D,2.38,3.2,3.4,2.4,3.1,3.1,HomeUnd,11,
13/8/16,Southampton,Watford,1,1,D,1.8,3.75,5,1.83,3.4,4.5,AwayFav,5.31,
14/8/16,Arsenal,Liverpool,3,4,A,2.4,3.5,3.1,2.5,3.1,3,AwayUnd,16.1,
14/8/16,Bournemouth,Man United,1,3,A,4.75,3.6,1.85,4.5,3.4,1.85,BigDraw,7,
15/8/16,Chelsea,West Ham,2,1,H,1.65,4,6,1.67,3.6,5.5,Draw,6.95,
19/8/16,Man United,Southampton,2,0,H,1.53,4.2,7.5,1.44,4.33,7.5,DrawBoth,,
20/8/16,Burnley,Liverpool,2,0,H,6.5,4.2,1.57,7,3.5,1.57,,,
20/8/16,Leicester,Arsenal,0,0,D,2.88,3.6,2.5,2.88,3.2,2.5,,,
20/8/16,Stoke,Man City,1,4,A,5.5,3.8,1.73,5,3.5,1.73,,,
20/8/16,Swansea,Hull,0,2,A,1.8,3.6,5.25,1.83,3.2,4.8,,,
20/8/16,Tottenham,Crystal Palace,1,0,H,1.45,4.75,8,1.5,3.6,8.5,,,
20/8/16,Watford,Chelsea,1,2,A,5.5,3.8,1.73,5.5,3.3,1.73,,,0